"","state_abb","year","population"
"607","VT","2011",626730
"608","VA","2011",8110035
"609","WA","2011",6822520
"610","WV","2011",1854972
"611","WI","2011",5709640
"612","WY","2011",567725
"613","AL","2012",4815960
"614","AK","2012",731089
"615","AZ","2012",6549634
"616","AR","2012",2950685
"617","CA","2012",38011074
"618","CO","2012",5189867
"619","CT","2012",3593795
"620","DE","2012",916993
"621","DC","2012",635327
"622","FL","2012",19344156
"623","GA","2012",9914668
"624","HI","2012",1391820
"625","ID","2012",1595911
"626","IL","2012",12870798
"627","IN","2012",6537743
"628","IA","2012",3076310
"629","KS","2012",2885262
"630","KY","2012",4384799
"631","LA","2012",4603429
"632","ME","2012",1328895
"633","MD","2012",5889651
"634","MA","2012",6658008
"635","MI","2012",9887238
"636","MN","2012",5380285
"637","MS","2012",2984945
"638","MO","2012",6025415
"639","MT","2012",1005196
"640","NE","2012",1855725
"641","NV","2012",2752565
"642","NH","2012",1321182
"643","NJ","2012",8873211
"644","NM","2012",2083784
"645","NY","2012",19602769
"646","NC","2012",9746175
"647","ND","2012",702087
"648","OH","2012",11550839
"649","OK","2012",3817054
"650","OR","2012",3899116
"651","PA","2012",12771854
"652","RI","2012",1052901
"653","SC","2012",4720760
"654","SD","2012",834441
"655","TN","2012",6454306
"656","TX","2012",26071655
"657","UT","2012",2855782
"658","VT","2012",626444
"659","VA","2012",8192048
"660","WA","2012",6895226
"661","WV","2012",1856560
"662","WI","2012",5726177
"663","WY","2012",576765
"664","AL","2013",4829479
"665","AK","2013",736879
"666","AZ","2013",6624617
"667","AR","2013",2958663
"668","CA","2013",38335203
"669","CO","2013",5267603
"670","CT","2013",3596003
"671","DE","2013",925395
"672","DC","2013",649165
"673","FL","2013",19582022
"674","GA","2013",9984938
"675","HI","2013",1406481
"676","ID","2013",1612011
"677","IL","2013",12879505
"678","IN","2013",6569102
"679","IA","2013",3091930
"680","KS","2013",2892821
"681","KY","2013",4400477
"682","LA","2013",4626402
"683","ME","2013",1329076
"684","MD","2013",5931129
"685","MA","2013",6706786
"686","MI","2013",9898982
"687","MN","2013",5418521
"688","MS","2013",2990482
"689","MO","2013",6042711
"690","MT","2013",1014314
"691","NE","2013",1868559
"692","NV","2013",2786464
"693","NH","2013",1322687
"694","NJ","2013",8899162
"695","NM","2013",2085193
"696","NY","2013",19673546
"697","NC","2013",9841590
"698","ND","2013",724019
"699","OH","2013",11570022
"700","OK","2013",3852415
"701","OR","2013",3925751
"702","PA","2013",12781338
"703","RI","2013",1053033
"704","SC","2013",4767894
"705","SD","2013",844922
"706","TN","2013",6494821
"707","TX","2013",26473525
"708","UT","2013",2902663
"709","VT","2013",627140
"710","VA","2013",8262692
"711","WA","2013",6968006
"712","WV","2013",1853231
"713","WI","2013",5742854
"714","WY","2013",582684
"715","AL","2014",4843214
"716","AK","2014",736705
"717","AZ","2014",6719993
"718","AR","2014",2966912
"719","CA","2014",38680810
"720","CO","2014",5349648
"721","CT","2014",3591873
"722","DE","2014",934948
"723","DC","2014",659005
"724","FL","2014",19888741
"725","GA","2014",10087231
"726","HI","2014",1416349
"727","ID","2014",1633532
"728","IL","2014",12867544
"729","IN","2014",6595233
"730","IA","2014",3108030
"731","KS","2014",2899360
"732","KY","2014",4413057
"733","LA","2014",4647880
"734","ME","2014",1330719
"735","MD","2014",5967295
"736","MA","2014",6749911
